INFO 2024-08-30 17:54:24,020 autoreload Watching for file changes with StatReloader
DEBUG 2024-08-30 17:54:24,220 autoreload File C:\Users\yannb\pythonvirtualenv\testProjet\Lib\site-packages\sqlparse\utils.py first seen with mtime 1723813826.420696
DEBUG 2024-08-30 17:54:24,220 autoreload File C:\Users\yannb\AppData\Local\Programs\Python\Python312\Lib\asyncio\protocols.py first seen with mtime 1717696452.0
DEBUG 2024-08-30 17:54:24,220 autoreload File C:\Users\yannb\pythonvirtualenv\testProjet\Lib\site-packages\django\template\exceptions.py first seen with mtime 1723813829.1132185
DEBUG 2024-08-30 17:54:24,220 autoreload File C:\Users\yannb\AppData\Local\Programs\Python\Python312\Lib\calendar.py first seen with mtime 1717696452.0
DEBUG 2024-08-30 17:54:24,220 autoreload File C:\Users\yannb\AppData\Local\Programs\Python\Python312\Lib\asyncio\staggered.py first seen with mtime 1717696452.0
DEBUG 2024-08-30 17:54:24,221 autoreload File C:\Users\yannb\pythonvirtualenv\testProjet\Lib\site-packages\django\contrib\admin\actions.py first seen with mtime 1723813827.081623
DEBUG 2024-08-30 17:54:24,221 autoreload File C:\Users\yannb\pythonvirtualenv\testProjet\Lib\site-packages\django\contrib\staticfiles\apps.py first seen with mtime 1723813828.8972826
DEBUG 2024-08-30 17:54:24,221 autoreload File C:\Users\yannb\pythonvirtualenv\testProjet\Lib\site-packages\django\forms\__init__.py first seen with mtime 1723813829.0467875
DEBUG 2024-08-30 17:54:24,221 autoreload File C:\Users\yannb\pythonvirtualenv\testProjet\Lib\site-packages\django\views\debug.py first seen with mtime 1723813829.1657312
DEBUG 2024-08-30 17:54:24,221 autoreload File C:\Users\yannb\AppData\Local\Programs\Python\Python312\Lib\asyncio\streams.py first seen with mtime 1717696452.0
DEBUG 2024-08-30 17:54:24,222 autoreload File C:\Users\yannb\pythonvirtualenv\testProjet\Lib\site-packages\django\core\wsgi.py first seen with mtime 1723813828.9112806
DEBUG 2024-08-30 17:54:24,222 autoreload File C:\Users\yannb\Desktop\Notre_Livre__Notre_Media\mediatheque\bibliothecaires\admin.py first seen with mtime 1724340861.7443025
DEBUG 2024-08-30 17:54:24,222 autoreload File C:\Users\yannb\pythonvirtualenv\testProjet\Lib\site-packages\django\db\backends\sqlite3\creation.py first seen with mtime 1723813829.000787
DEBUG 2024-08-30 17:54:24,222 autoreload File C:\Users\yannb\AppData\Local\Programs\Python\Python312\Lib\email\encoders.py first seen with mtime 1717696452.0
